criteria,cost_of_bike,assistance,segment,rating,price,provider,rank,location,product_variant,month
Fahrrad,6000,Yes,None,1.1,15.08,NV Versicherungen,5,north rhine-westphalia,Premium 1.0,July
Fahrrad,6000,Yes,None,1.7,15.13,MVK,6,north rhine-westphalia,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.1,15.33,Bessergrün,7,north rhine-westphalia,Premium 1.0,July
Fahrrad,6000,Yes,None,1.1,16.19,Schutzgarant,8,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.2,16.67,GVO,9,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.1,16.93,Hepster,10,north rhine-westphalia,Premium,July
Fahrrad,6000,Yes,None,1.2,17.9,BerlinDirect,11,north rhine-westphalia,Rundum,July
Fahrrad,6000,Yes,None,1.0,17.93,Hepster,12,north rhine-westphalia,Superior,July
Fahrrad,6000,Yes,Performance recommendation,1.0,18.2,Ammerländer,13,north rhine-westphalia,Exclusiv,July
Fahrrad,6000,Yes,None,1.2,18.4,BerlinDirect,14,north rhine-westphalia,Premium,July
Fahrrad,6000,Yes,None,1.0,22.75,Ammerländer,15,north rhine-westphalia,Excellent,July
Fahrrad,6000,Yes,None,1.0,23.41,Ammerländer,16,north rhine-westphalia,Excellent Plus,July
Fahrrad,6000,Yes,None,1.7,23.74,Bikmo,17,north rhine-westphalia,Plus,July
Fahrrad,6000,Yes,None,1.0,31.96,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,6000,Yes,None,1.6,36.84,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,6000,Yes,None,2.1,42.96,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.0,45.26,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.3,80.55,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,6000,Yes,None,1.2,88.43,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.1,14.0,Bessergrün,9,north rhine-westphalia,Premium 1.0,July
Fahrrad,5000,Yes,None,1.2,14.9,BerlinDirect,10,north rhine-westphalia,Rundum,July
Fahrrad,5000,Yes,None,1.1,15.03,Hepster,11,north rhine-westphalia,Premium,July
Fahrrad,5000,Yes,None,1.2,15.4,BerlinDirect,12,north rhine-westphalia,Premium,July
Fahrrad,5000,Yes,Performance recommendation,1.0,15.43,Hepster,13,north rhine-westphalia,Superior,July
Fahrrad,5000,Yes,None,1.0,15.6,Ammerländer,14,north rhine-westphalia,Exclusiv,July
Fahrrad,5000,Yes,None,1.0,19.5,Ammerländer,15,north rhine-westphalia,Excellent,July
Fahrrad,5000,Yes,None,1.7,19.95,Bikmo,16,north rhine-westphalia,Plus,July
Fahrrad,5000,Yes,None,1.0,20.16,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,5000,Yes,None,1.0,27.61,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,5000,Yes,None,1.6,28.17,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,5000,Yes,None,2.1,35.8,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.0,42.38,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.3,75.96,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,5000,Yes,None,1.2,83.38,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,Price-performance recommendation,1.3,9.54,Schutzgarant,1,north rhine-westphalia,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.5,11.18,BerlinDirect,4,north rhine-westphalia,Classic Rundum,July
Fahrrad,4500,Yes,None,1.2,11.25,GVO,5,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.1,11.95,Schutzgarant,6,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.1,12.5,NV Versicherungen,7,north rhine-westphalia,Premium 1.0,July
Fahrrad,4500,Yes,None,1.7,12.73,MVK,8,north rhine-westphalia,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.1,12.75,Bessergrün,9,north rhine-westphalia,Premium 1.0,July
Fahrrad,4500,Yes,None,1.1,13.53,Hepster,10,north rhine-westphalia,Premium,July
Fahrrad,4500,Yes,Performance recommendation,1.0,13.93,Hepster,11,north rhine-westphalia,Superior,July
Fahrrad,4500,Yes,None,1.0,14.3,Ammerländer,12,north rhine-westphalia,Exclusiv,July
Fahrrad,4500,Yes,None,1.2,14.9,BerlinDirect,13,north rhine-westphalia,Rundum,July
Fahrrad,4500,Yes,None,1.2,15.4,BerlinDirect,14,north rhine-westphalia,Premium,July
Fahrrad,4500,Yes,None,1.0,17.88,Ammerländer,15,north rhine-westphalia,Excellent,July
Fahrrad,4500,Yes,None,1.7,18.06,Bikmo,16,north rhine-westphalia,Plus,July
Fahrrad,4500,Yes,None,1.0,18.53,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,4500,Yes,None,1.0,20.43,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,4500,Yes,None,1.6,24.05,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,4500,Yes,None,2.1,32.22,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.0,40.81,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.3,73.67,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4500,Yes,None,1.2,80.86,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,Cheap,1.3,7.09,Schutzgarant,1,north rhine-westphalia,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,Price-performance recommendation,1.1,8.46,Schutzgarant,3,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.7,10.07,MVK,6,north rhine-westphalia,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.1,10.25,NV Versicherungen,7,north rhine-westphalia,Premium 1.0,July
Fahrrad,4000,Yes,None,1.1,10.5,Bessergrün,8,north rhine-westphalia,Premium 1.0,July
Fahrrad,4000,Yes,None,1.2,10.83,GVO,9,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,Performance recommendation,1.0,11.1,Ammerländer,10,north rhine-westphalia,Exclusiv,July
Fahrrad,4000,Yes,None,1.1,11.13,Hepster,11,north rhine-westphalia,Premium,July
Fahrrad,4000,Yes,None,1.0,11.33,Hepster,12,north rhine-westphalia,Superior,July
Fahrrad,4000,Yes,None,1.2,11.9,BerlinDirect,13,north rhine-westphalia,Rundum,July
Fahrrad,4000,Yes,None,1.2,12.4,BerlinDirect,14,north rhine-westphalia,Premium,July
Fahrrad,4000,Yes,None,1.0,13.88,Ammerländer,15,north rhine-westphalia,Excellent,July
Fahrrad,4000,Yes,None,1.0,14.54,Ammerländer,16,north rhine-westphalia,Excellent Plus,July
Fahrrad,4000,Yes,None,1.7,16.17,Bikmo,17,north rhine-westphalia,Plus,July
Fahrrad,4000,Yes,None,1.0,18.56,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,4000,Yes,None,1.6,19.35,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,4000,Yes,None,2.1,28.64,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.0,39.14,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.3,71.38,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,4000,Yes,None,1.2,78.34,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,Cheap,1.3,6.54,Schutzgarant,1,north rhine-westphalia,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,Price-performance recommendation,1.1,7.78,Schutzgarant,3,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.2,9.17,GVO,6,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.7,9.44,MVK,7,north rhine-westphalia,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.1,9.58,NV Versicherungen,8,north rhine-westphalia,Premium 1.0,July
Fahrrad,3500,Yes,None,1.1,9.62,Hepster,9,north rhine-westphalia,Premium,July
Fahrrad,3500,Yes,None,1.1,9.83,Bessergrün,10,north rhine-westphalia,Premium 1.0,July
Fahrrad,3500,Yes,Performance recommendation,1.0,11.1,Ammerländer,11,north rhine-westphalia,Exclusiv,July
Fahrrad,3500,Yes,None,1.0,11.23,Hepster,12,north rhine-westphalia,Superior,July
Fahrrad,3500,Yes,None,1.2,11.9,BerlinDirect,13,north rhine-westphalia,Rundum,July
Fahrrad,3500,Yes,None,1.2,12.4,BerlinDirect,14,north rhine-westphalia,Premium,July
Fahrrad,3500,Yes,None,1.0,13.88,Ammerländer,15,north rhine-westphalia,Excellent,July
Fahrrad,3500,Yes,None,1.0,14.54,Ammerländer,16,north rhine-westphalia,Excellent Plus,July
Fahrrad,3500,Yes,None,1.7,14.71,Bikmo,17,north rhine-westphalia,Plus,July
Fahrrad,3500,Yes,None,1.6,16.24,Enra,18,north rhine-westphalia,Rundumschutz,July
Fahrrad,3500,Yes,None,1.0,16.69,Janitos,19,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,3500,Yes,None,2.1,26.31,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.0,37.36,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.3,69.08,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3500,Yes,None,1.2,75.81,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.3,5.5,Schutzgarant,2,north rhine-westphalia,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,Price-performance recommendation,1.0,7.33,Hepster,7,north rhine-westphalia,Superior,July
Fahrrad,3000,Yes,None,1.0,8.25,Ammerländer,11,north rhine-westphalia,Exclusiv,July
Fahrrad,3000,Yes,None,1.7,8.3,MVK,12,north rhine-westphalia,"Top Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.1,8.33,NV Versicherungen,13,north rhine-westphalia,Premium 1.0,July
Fahrrad,3000,Yes,None,1.1,8.58,Bessergrün,14,north rhine-westphalia,Premium 1.0,July
Fahrrad,3000,Yes,None,1.0,10.31,Ammerländer,15,north rhine-westphalia,Excellent,July
Fahrrad,3000,Yes,None,1.7,10.73,Bikmo,16,north rhine-westphalia,Plus,July
Fahrrad,3000,Yes,None,1.0,10.97,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,3000,Yes,None,1.0,14.82,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,3000,Yes,None,1.6,15.03,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,3000,Yes,None,2.1,22.55,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.0,35.42,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.3,66.79,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,3000,Yes,None,1.2,73.29,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,None,1.3,5.22,Schutzgarant,2,north rhine-westphalia,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,Price-performance recommendation,1.1,6.13,Schutzgarant,5,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,None,1.1,7.13,Hepster,7,north rhine-westphalia,Premium,July
Fahrrad,2500,Yes,Performance recommendation,1.0,7.33,Hepster,8,north rhine-westphalia,Superior,July
Fahrrad,2500,Yes,None,1.2,7.4,BerlinDirect,9,north rhine-westphalia,Rundum,July
Fahrrad,2500,Yes,None,1.2,7.5,GVO,10,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,None,1.1,7.58,NV Versicherungen,11,north rhine-westphalia,Premium 1.0,July
Fahrrad,2500,Yes,None,1.1,7.83,Bessergrün,12,north rhine-westphalia,Premium 1.0,July
Fahrrad,2500,Yes,None,1.2,7.9,BerlinDirect,13,north rhine-westphalia,Premium,July
Fahrrad,2500,Yes,None,1.0,8.25,Ammerländer,14,north rhine-westphalia,Exclusiv,July
Fahrrad,2500,Yes,None,1.7,9.67,Bikmo,15,north rhine-westphalia,Plus,July
Fahrrad,2500,Yes,None,1.0,10.31,Ammerländer,16,north rhine-westphalia,Excellent,July
Fahrrad,2500,Yes,None,1.0,10.97,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,2500,Yes,None,1.0,13.08,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,2500,Yes,None,1.6,13.19,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,2500,Yes,None,2.1,20.65,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,None,1.0,33.28,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,None,1.3,64.5,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2500,Yes,None,1.2,70.78,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2000,Yes,Cheap,1.5,3.94,Hepster,1,north rhine-westphalia,Basic,July
Fahrrad,2000,Yes,Price-performance recommendation,1.3,4.58,GVO,3,north rhine-westphalia,"TOP-VIT Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2000,Yes,None,1.1,6.33,Hepster,7,north rhine-westphalia,Premium,July
Fahrrad,2000,Yes,None,1.2,6.4,BerlinDirect,8,north rhine-westphalia,Rundum,July
Fahrrad,2000,Yes,Performance recommendation,1.0,6.43,Hepster,9,north rhine-westphalia,Superior,July
Fahrrad,2000,Yes,None,1.2,6.5,GVO,10,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2000,Yes,None,1.1,6.75,NV Versicherungen,11,north rhine-westphalia,Premium 1.0,July
Fahrrad,2000,Yes,None,1.2,6.9,BerlinDirect,12,north rhine-westphalia,Premium,July
Fahrrad,2000,Yes,None,1.1,7.0,Bessergrün,13,north rhine-westphalia,Premium 1.0,July
Fahrrad,2000,Yes,None,1.0,7.13,Ammerländer,14,north rhine-westphalia,Exclusiv,July
Fahrrad,2000,Yes,None,1.7,8.53,Bikmo,15,north rhine-westphalia,Plus,July
Fahrrad,2000,Yes,None,1.0,8.91,Ammerländer,16,north rhine-westphalia,Excellent,July
Fahrrad,2000,Yes,None,1.0,9.57,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,2000,Yes,None,1.0,11.34,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,2000,Yes,None,1.6,12.1,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,2000,Yes,None,2.1,16.52,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2000,Yes,None,1.0,30.86,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2000,Yes,None,1.3,62.21,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,2000,Yes,None,1.2,68.26,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1500,Yes,Cheap,1.5,3.65,Hepster,1,north rhine-westphalia,Basic,July
Fahrrad,1500,Yes,Price-performance recommendation,1.1,5.49,Schutzgarant,6,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1500,Yes,None,1.2,5.9,BerlinDirect,7,north rhine-westphalia,Rundum,July
Fahrrad,1500,Yes,None,1.1,6.17,NV Versicherungen,8,north rhine-westphalia,Premium 1.0,July
Fahrrad,1500,Yes,None,1.2,6.25,GVO,9,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1500,Yes,None,1.1,6.33,Hepster,10,north rhine-westphalia,Premium,July
Fahrrad,1500,Yes,None,1.2,6.4,BerlinDirect,11,north rhine-westphalia,Premium,July
Fahrrad,1500,Yes,None,1.1,6.42,Bessergrün,12,north rhine-westphalia,Premium 1.0,July
Fahrrad,1500,Yes,Performance recommendation,1.0,6.43,Hepster,13,north rhine-westphalia,Superior,July
Fahrrad,1500,Yes,None,1.0,7.13,Ammerländer,14,north rhine-westphalia,Exclusiv,July
Fahrrad,1500,Yes,None,1.7,7.28,Bikmo,15,north rhine-westphalia,Plus,July
Fahrrad,1500,Yes,None,1.0,8.91,Ammerländer,16,north rhine-westphalia,Excellent,July
Fahrrad,1500,Yes,None,1.0,9.57,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,1500,Yes,None,1.0,9.59,Janitos,18,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,1500,Yes,None,1.6,10.98,Enra,19,north rhine-westphalia,Rundumschutz,July
Fahrrad,1500,Yes,None,2.1,14.88,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1500,Yes,None,1.0,28.05,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1500,Yes,None,1.3,59.92,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1500,Yes,None,1.2,65.74,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,Cheap,1.5,3.31,Hepster,1,north rhine-westphalia,Basic,July
Fahrrad,1000,Yes,Price-performance recommendation,1.3,4.18,Schutzgarant,3,north rhine-westphalia,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,None,1.1,5.3,Schutzgarant,7,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,None,1.2,5.4,BerlinDirect,8,north rhine-westphalia,Premium,July
Fahrrad,1000,Yes,None,1.1,5.48,Hepster,9,north rhine-westphalia,Premium,July
Fahrrad,1000,Yes,None,1.2,5.83,GVO,10,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,None,1.7,5.86,Bikmo,11,north rhine-westphalia,Plus,July
Fahrrad,1000,Yes,Performance recommendation,1.0,5.93,Hepster,12,north rhine-westphalia,Superior,July
Fahrrad,1000,Yes,None,1.1,6.17,NV Versicherungen,13,north rhine-westphalia,Premium 1.0,July
Fahrrad,1000,Yes,None,1.1,6.42,Bessergrün,14,north rhine-westphalia,Premium 1.0,July
Fahrrad,1000,Yes,None,1.0,6.5,Ammerländer,15,north rhine-westphalia,Exclusiv,July
Fahrrad,1000,Yes,None,1.0,8.13,Ammerländer,16,north rhine-westphalia,Excellent,July
Fahrrad,1000,Yes,None,1.0,8.78,Ammerländer,17,north rhine-westphalia,Excellent Plus,July
Fahrrad,1000,Yes,None,1.6,8.96,Enra,18,north rhine-westphalia,Rundumschutz,July
Fahrrad,1000,Yes,None,1.0,9.59,Janitos,19,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,1000,Yes,None,2.1,9.92,Verias,20,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,None,1.0,24.58,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,None,1.3,57.62,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,1000,Yes,None,1.2,63.21,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,750,Yes,None,1.1,5.3,Schutzgarant,7,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,750,Yes,None,1.2,5.4,BerlinDirect,8,north rhine-westphalia,Premium,July
Fahrrad,750,Yes,None,1.7,5.41,Bikmo,9,north rhine-westphalia,Plus,July
Fahrrad,750,Yes,None,1.1,5.48,Hepster,10,north rhine-westphalia,Premium,July
Fahrrad,750,Yes,None,1.2,5.83,GVO,11,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,750,Yes,None,1.0,5.93,Hepster,12,north rhine-westphalia,Superior,July
Fahrrad,750,Yes,None,1.1,6.17,NV Versicherungen,13,north rhine-westphalia,Premium 1.0,July
Fahrrad,750,Yes,None,1.1,6.42,Bessergrün,14,north rhine-westphalia,Premium 1.0,July
Fahrrad,750,Yes,Performance recommendation,1.0,6.5,Ammerländer,15,north rhine-westphalia,Exclusiv,July
Fahrrad,750,Yes,None,1.6,7.91,Enra,16,north rhine-westphalia,Rundumschutz,July
Fahrrad,750,Yes,None,1.0,8.13,Ammerländer,17,north rhine-westphalia,Excellent,July
Fahrrad,750,Yes,None,2.1,8.5,Verias,18,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,750,Yes,None,1.0,8.78,Ammerländer,19,north rhine-westphalia,Excellent Plus,July
Fahrrad,750,Yes,None,1.0,9.59,Janitos,20,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,750,Yes,None,1.0,21.93,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,750,Yes,None,1.3,56.48,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,750,Yes,None,1.2,61.95,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,500,Yes,None,1.1,5.3,Schutzgarant,7,north rhine-westphalia,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,500,Yes,None,1.2,5.4,BerlinDirect,8,north rhine-westphalia,Premium,July
Fahrrad,500,Yes,None,1.7,5.41,Bikmo,9,north rhine-westphalia,Plus,July
Fahrrad,500,Yes,None,1.1,5.48,Hepster,10,north rhine-westphalia,Premium,July
Fahrrad,500,Yes,None,1.6,5.71,Enra,11,north rhine-westphalia,Rundumschutz,July
Fahrrad,500,Yes,None,1.2,5.83,GVO,12,north rhine-westphalia,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,500,Yes,None,1.0,5.93,Hepster,13,north rhine-westphalia,Superior,July
Fahrrad,500,Yes,None,1.1,6.17,NV Versicherungen,14,north rhine-westphalia,Premium 1.0,July
Fahrrad,500,Yes,None,1.1,6.42,Bessergrün,15,north rhine-westphalia,Premium 1.0,July
Fahrrad,500,Yes,Performance recommendation,1.0,6.5,Ammerländer,16,north rhine-westphalia,Exclusiv,July
Fahrrad,500,Yes,None,1.0,8.13,Ammerländer,17,north rhine-westphalia,Excellent,July
Fahrrad,500,Yes,None,2.1,8.5,Verias,18,north rhine-westphalia,"Premium Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,500,Yes,None,1.0,8.78,Ammerländer,19,north rhine-westphalia,Excellent Plus,July
Fahrrad,500,Yes,None,1.0,9.59,Janitos,20,north rhine-westphalia,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,500,Yes,None,1.0,20.52,AndSafe,21,north rhine-westphalia,"Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,500,Yes,None,1.3,55.34,Adam Riese,22,north rhine-westphalia,"XL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,500,Yes,None,1.2,60.69,Adam Riese,23,north rhine-westphalia,"XXL Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,Price-performance recommendation,1.3,28.11,Schutzgarant,1,bavaria,"BronzePlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,None,1.1,30.67,Schutzgarant,2,bavaria,"GoldPlus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
Fahrrad,12000,Yes,Performance recommendation,1.0,33.01,Janitos,3,bavaria,Fahrrad- und E-Bike-Versicherung,July
Fahrrad,12000,Yes,None,1.2,35.0,GVO,4,bavaria,"TOP-VIT Plus Diebstahl, Reparatur sowie Pannen- und Unfallhilfe",July
